region,product type,product name,producer name,regulator number,application method,label minimum rate,label maximum rate,label suggested rate,rate UOM,number of AI,AI1,AI1 eiq,AI1 group,AI1concentration,AI1_UOM,AI2,AI2 eiq,AI2 group,AI2concentration,AI2_UOM,AI3,AI3 eiq,AI3 group,AI3concentration,AI3_UOM,AI4,AI4 eiq,AI4 group,AI4concentration,AI4_UOM,eiq total,min days between applications,REI (hours),PHI (days)
CA,Storage Fungicide,SERENADE SOIL,Bayer CropScience Inc.,30647,Storage Treatment - Piler,2.7,14,,l / ha,1,Bacillus subtilis strain QST 713,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,ETHOS ELITE LFR,,279-9651,Furrow,12.75,25.5,,oz / ac,3,Bacillus subtilis strain QST 713,,,,,Bacillus velezensis,,,,,Bifenthrin,,,,,,,,,,,,,
USA,Field Insecticide,ETHOS ELITE LFR,,279-9651,Ground,12.75,25.5,,oz / ac,3,Bacillus subtilis strain QST 713,,,,,Bacillus velezensis,,,,,Bifenthrin,,,,,,,,,,,,,
USA,Field Insecticide,ETHOS ELITE LFR,,279-9651,Lay-by,12.75,25.5,,oz / ac,3,Bacillus subtilis strain QST 713,,,,,Bacillus velezensis,,,,,Bifenthrin,,,,,,,,,,,,,
USA,Field Fungicide,RHIZOPRO,Bio-Gro Inc.,70127-5-82041,Foliar,2.6,5.2,,oz / ac,1,Bacillus subtillis strain FZB24,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,TAEGRO BIOFUNGICIDE,Novozymes,70127-5,Foliar,2.6,5.2,,oz / ac,1,Bacillus subtillis strain FZB24,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,AGREE WG,Certis USA LLC,70051-47,Foliar,0.25,2,,lb / ac,1,Bacillus thuringiensis,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,CRYMAX BIOINSECTICIDE,Certis USA LLC,70051-86,Foliar,0.5,2,,lb / ac,1,Bacillus thuringiensis,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,JAVELIN-WG,Certis USA LLC,70051-66,Foliar,0.12,1.5,,lb / ac,1,Bacillus thuringiensis,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,LEPINOX WDG,Certis USA LLC,70051-89,Foliar,1,2,,lb / ac,1,Bacillus thuringiensis,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,TRIDENT INSECTICIDE,Certis USA LLC,70051-120,Foliar,3,6,,qt / ac,1,Bacillus thuringiensis,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,BIOBIT HP INSECTICIDE,Valent BioSciences Corporation,73049-54,Foliar,0.5,2,,lb / ac,1,Bacillus thuringiensis,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,DIPEL DF INSECTICIDE,Valent BioSciences Corporation,73049-39,Foliar,0.5,2,,lb / ac,1,Bacillus thuringiensis,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,DIPEL ES INSECTICIDE,Valent BioSciences Corporation,73049-17,Foliar,1,4,,pt / ac,1,Bacillus thuringiensis,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,XENTARI,Valent BioSciences Corporation,73049-23,Foliar,0.5,2,,lb / ac,1,Bacillus thuringiensis,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Insecticide,BIOPROTEC 3P,AEF Global Inc,27750,Foliar,0.72,1.45,,kg / ha,1,Bacillus thuringiensis strain EVB113-19,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Insecticide,BIOPROTEC CAF,AEF Global Inc,26854,Foliar,1.4,2.8,,l / ha,1,Bacillus thuringiensis strain EVB113-19,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Insecticide,THURICIDE-HPC,Certis USA LLC (CAN),11302,Foliar,2,4.25,,l / ha,1,Bacillus thuringiensis strain SA-12,,,,,,,,,,,,,,,,,,,,,7,,
USA,Field Fungicide,BASIC COPPER 53,"Albaugh, LLC",45002-8,Foliar,3,4.7,47,lb / ac,1,Basic copper sulfate,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,C-O-C-S WDG,Loveland Products Inc.,34704-326,Foliar,1.5,4.9,48.8,lb / ac,2,Basic copper sulfate,,,,,Copper Oxychloride,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,BASIC COPPER SULFATE,"Old Bridge Chemicals, Inc.",46923-9,Foliar,1,4.72,47.2,lb / ac,1,Basic copper sulfate,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,CUPROFIX ULTRA 40 DISPERSS,"UPL NA, INC.",70506-201,Foliar,0.75,3,62.5,lb / ac,1,Basic copper sulfate,,,,,,,,,,,,,,,,,,,,,5,,
CA,Field Fungicide,APROVIA,"Syngenta Canada, Inc.",31981,Furrow,500,750,0.75,ml / ha,1,Benzovindiflupyr,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Fungicide,APROVIA TOP,"Syngenta Canada, Inc.",31526,Air,643,967,3900,ml / ha,2,Benzovindiflupyr,,,,,Difenoconazole,,,,,,,,,,,,,,,,7,,
CA,Field Fungicide,APROVIA TOP,"Syngenta Canada, Inc.",31526,Foliar,643,967,3900,ml / ha,2,Benzovindiflupyr,,,,,Difenoconazole,,,,,,,,,,,,,,,,7,,
CA,Field Fungicide,ELATUS B FUNGICIDE,"Syngenta Canada, Inc.",31977,Furrow,500,750,750,ml / ha,1,Benzovindiflupyr,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,CRYPTONYX 360,Atticus LLC,91234-292,Foliar,2.8,2.8,12.8,fl oz/acre,2,Beta-cyfluthrin,,,,,Imidacloprid,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,SULTRUS,"HELENA AGRI-ENTERPRISES, LLC",5905-599,Foliar,0.8,2.8,16.8,fl oz/acre,1,Beta-cyfluthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,ACRAMITE - 4SC,UPL,400-514,Chemigation,16,24,48,fl oz/acre,1,Bifenazate,,,,,,,,,,,,,,,,,,,,,14,,
USA,Field Insecticide,ACRAMITE - 4SC,UPL,400-514,Foliar,16,24,48,fl oz/acre,1,Bifenazate,,,,,,,,,,,,,,,,,,,,,14,,
USA,Field Insecticide,ACRAMITE -4SC,UPL NA INC,400-514,Foliar,16,24,,fl oz/acre,1,Bifenazate,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,VIGILANT 4SC,"UPL NA, INC.",400-514,Chemigation,16,24,,fl oz/acre,1,Bifenazate,,,,,,,,,,,,,,,,,,,,,14,,
USA,Field Insecticide,VIGILANT 4SC,"UPL NA, INC.",400-514,Foliar,16,24,,fl oz/acre,1,Bifenazate,,,,,,,,,,,,,,,,,,,,,14,,
USA,Field Insecticide,BATALLION 2EC,"Atticus, LLC",91234-104,Foliar,19.2,19.2,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,BATALLION 2EC,"Atticus, LLC",91234-104,Furrow,19.2,19.2,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,BATALLION 2EC,"Atticus, LLC",91234-104,Lay-by,19.2,19.2,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,RIDGEBACK,CORTEVA AGRISCIENCE LLC,62719-749,Foliar,4.5,13.8,27.6,fl oz/acre,2,Bifenthrin,,,,,Sulfoxaflor,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,BRIGADE 2EC,FMC Corporation,279-3313,Foliar,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,BRIGADE 2EC,FMC Corporation,279-3313,Furrow,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,BRIGADE 2EC,FMC Corporation,279-3313,Lay-by,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,BRIGADE 2EC,FMC Corporation,279-3313,Soil Incorporated,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,BRIGADIER INSECTICIDE,FMC Corporation,279-3332,Foliar,3.8,6.14,25.6,fl oz/acre,2,Bifenthrin,,,,,Imidacloprid,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,BRIGADIER INSECTICIDE,FMC Corporation,279-3332,Furrow,3.8,6.14,25.6,fl oz/acre,2,Bifenthrin,,,,,Imidacloprid,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,CAPTURE 2EC,FMC Corporation,279-3069,Foliar,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,CAPTURE 2EC,FMC Corporation,279-3069,Furrow,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,CAPTURE 2EC,FMC Corporation,279-3069,Lay-by,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,CAPTURE LFR,FMC Corporation,279-3302,Foliar,12.75,25.5,,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,CAPTURE LFR,FMC Corporation,279-3302,Furrow,12.75,25.5,,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,CAPTURE LFR,FMC Corporation,279-3302,Lay-by,12.75,25.5,,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,CAPTURE LFR,FMC Corporation,279-3302,Soil Incorporated,12.75,25.5,,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,ETHOS XB,FMC Corporation,279-3473,Foliar,2.8,8.5,,oz / ac,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,ETHOS XB,FMC Corporation,279-3473,Furrow,2.8,8.5,,oz / ac,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,ETHOS XB,FMC Corporation,279-3473,Ground,2.8,8.5,,oz / ac,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,ETHOS XB,FMC Corporation,279-3473,Lay-by,2.8,8.5,,oz / ac,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,HERO INSECTICIDE,FMC Corporation,279-3315,Foliar,2.6,10.3,46.35,fl oz/acre,2,Bifenthrin,,,,,Zeta-cypermethrin,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,ELEVEST,FMC Corportation,279-9652,Foliar,3.9,9.6,28.8,fl oz/acre,2,Bifenthrin,,,,,Chlorantraniliprole,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,FRENZY VELOZ,"Fuzion Technologies, LLC",86363-1-86656,Foliar,6.4,6.4,32,oz / ac,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,FRENZY VELOZ,"Fuzion Technologies, LLC",86363-1-86656,Furrow,6.4,6.4,32,oz / ac,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,FRENZY VELOZ,"Fuzion Technologies, LLC",86363-1-86656,Lay-by,6.4,6.4,32,oz / ac,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,TEMPEST INSECTICIDE,Helena Chemical Company,279-3459-5905,Foliar,3.8,6.4,25.6,fl oz/acre,2,Bifenthrin,,,,,Imidacloprid,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,TEMPEST INSECTICIDE,Helena Chemical Company,279-3459-5905,Furrow,3.8,6.4,25.6,fl oz/acre,2,Bifenthrin,,,,,Imidacloprid,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,AVENGER MAX,"Innvictis Crop Care, LLC",89168-85-89391,Foliar,2.1,6,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,AVENGER MAX,"Innvictis Crop Care, LLC",89168-85-89391,Furrow,2.1,6,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,AVENGER S3,"Innvictis Crop Care, LLC",89168-21-89391,Foliar,7.6,12.28,51.2,fl oz/acre,2,Bifenthrin,,,,,Imidacloprid,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,AVENGER S3,"Innvictis Crop Care, LLC",89168-21-89391,Furrow,7.6,12.28,51.2,fl oz/acre,2,Bifenthrin,,,,,Imidacloprid,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,REVEAL INSECTICIDE,"Innvictis Crop Care, LLC",89168-19-89391,Foliar,6.4,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,REVEAL INSECTICIDE,"Innvictis Crop Care, LLC",89168-19-89391,Furrow,6.4,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,REVEAL INSECTICIDE,"Innvictis Crop Care, LLC",89168-19-89391,Lay-by,6.4,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,SNIPER,Loveland Products Inc.,34704-858,Foliar,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,SNIPER,Loveland Products Inc.,34704-858,Furrow,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,SNIPER,Loveland Products Inc.,34704-858,Lay-by,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,FANFARE 2EC,"Makhteshim-Agan of North America, Inc.",66222-99,Foliar,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,FANFARE 2EC,"Makhteshim-Agan of North America, Inc.",66222-99,Furrow,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,FANFARE 2EC,"Makhteshim-Agan of North America, Inc.",66222-99,Lay-by,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,SKYRAIDER,"Makhteshim-Agan of North America, Inc.",66222-247,Foliar,2.1,6,32,fl oz/acre,2,Bifenthrin,,,,,Imidacloprid,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,SKYRAIDER,"Makhteshim-Agan of North America, Inc.",66222-247,Furrow,2.1,6,32,fl oz/acre,2,Bifenthrin,,,,,Imidacloprid,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,BIFENTURE LFC,"UPL NA, INC.",70506-305,Furrow,12.75,25.5,42.5,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,BIFENTURE LFC,"UPL NA, INC.",70506-305,Lay-by,12.75,25.5,42.5,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,BIFENTURE LFC,"UPL NA, INC.",70506-305,Soil Incorporated,12.75,25.5,42.5,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,TEPERA PLUS HD,"UPL NA, INC.",66330-440,Foliar,5.7,5.7,,fl oz/acre,2,Bifenthrin,,,,,Fluoxastrobin,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,TEPERA PLUS HD,"UPL NA, INC.",66330-440,Furrow,5.7,5.7,,fl oz/acre,2,Bifenthrin,,,,,Fluoxastrobin,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,BIFENTURE EC,"UPL NA, INC. (USA)",70506-57,Foliar,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,BIFENTURE EC,"UPL NA, INC. (USA)",70506-57,Furrow,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,BIFENTURE EC,"UPL NA, INC. (USA)",70506-57,Lay-by,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,BIFENDER FC INSECTICIDE,"Vive Crop Protection, Inc.",89118-2,Foliar,2.4,7.4,37,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,BIFENDER FC INSECTICIDE,"Vive Crop Protection, Inc.",89118-2,Furrow,2.4,7.4,37,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,BIFENDER FC INSECTICIDE,"Vive Crop Protection, Inc.",89118-2,Lay-by,2.4,7.4,37,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,BIFENTHRIN 2EC,Willowood USA,87290-54,Foliar,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,BIFENTHRIN 2EC,Willowood USA,87290-54,Furrow,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,BIFENTHRIN 2EC,Willowood USA,87290-54,Lay-by,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,BIFEN 2 AG GOLD,"Winfield Solutions, LLC",83222-1,Foliar,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,BIFEN 2 AG GOLD,"Winfield Solutions, LLC",83222-1,Furrow,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,BIFEN 2 AG GOLD,"Winfield Solutions, LLC",83222-1,Lay-by,2.1,6.4,32,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,TUNDRA EC INSECTICIDE,"Winfield Solutions, LLC",1381-196,Foliar,2.1,6.4,,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,TUNDRA EC INSECTICIDE,"Winfield Solutions, LLC",1381-196,Furrow,2.1,6.4,,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
USA,Field Insecticide,TUNDRA EC INSECTICIDE,"Winfield Solutions, LLC",1381-196,Lay-by,2.1,6.4,,fl oz/acre,1,Bifenthrin,,,,,,,,,,,,,,,,,,,,,21,,
CA,Field Fungicide,CANTUS WDG,BASF Canada Inc.,30141,Foliar,175,315,1.26,g / ha,1,Boscalid,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Fungicide,LANCE WDG,BASF Canada Inc.,27495,Foliar,175,315,1.26,g / ha,1,Boscalid,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,ENDURA,BASF Corporation,7969-197,Foliar,3.5,10,20,oz / ac,1,Boscalid,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,ENDURA PRO,BASF Corporation,7969-486,Foliar,18.5,20,60,fl oz/acre,2,Boscalid,,,,,Mefentrifluconazole,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,BONAFIDE,SHARDA USA LLC,83529-124,Foliar,3.5,10,20,oz / ac,1,Boscalid,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Insecticide,CIMEGRA,BASF Canada Inc,33666,Foliar,250,250,250,ml / ha,1,Broflanilide,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Insecticide,CIMEGRA,BASF Canada Inc,33666,Furrow,250,250,250,ml / ha,1,Broflanilide,,,,,,,,,,,,,,,,,,,,,,,
USA,Nematicide,MAJESTENE,"PRO FARM GROUP, INC.",84059-14,Chemigation,4,16,,qt / ac,1,Burkholderia spp strain A396,,,,,,,,,,,,,,,,,,,,,,,
USA,Nematicide,MAJESTENE,"PRO FARM GROUP, INC.",84059-14,Foliar,4,16,,qt / ac,1,Burkholderia spp strain A396,,,,,,,,,,,,,,,,,,,,,,,
USA,Nematicide,MAJESTENE,"PRO FARM GROUP, INC.",84059-14,Furrow,4,16,,qt / ac,1,Burkholderia spp strain A396,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Herbicide,BIOLINK HERBICIDE EC,Westbridge Agricultural Products,33590,Ground,0.119,35.83,35.83,l / ha,1,Capric Acid,,,,,,,,,,,,,,,,,,,,,,,
USA,Rodenticide,HOT SAUCE ANIMAL REPELLENT,Miller Chemical & Fertilizer Corp.,90930-1,Ground,5,800,,Fl oz/100gal,1,Capsaicin,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,SEVIN 4F,Bayer Crop Science LP,264-349,Foliar,0.5,2,6,qt / ac,1,Carbaryl,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,SEVIN 80S,Bayer Crop Science LP,264-316,Foliar,0.625,2.5,7.5,lb / ac,1,Carbaryl,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,SEVIN 80WSP,Bayer Crop Science LP,264-526,Foliar,0.625,2.5,7.5,lb / ac,1,Carbaryl,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,SEVIN XLR PLUS,Bayer Crop Science LP,264-333,Foliar,0.5,2,6,qt / ac,1,Carbaryl,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,CARBARYL 4L,Drexel Chemical Company,19713-49,Foliar,0.5,2,6,qt / ac,1,Carbaryl,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Insecticide,SEVIN XLR,"Tessernderlo Kerly, Inc.",27876,Foliar,1.25,6.4,,l / ha,1,Carbaryl,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,SEVIN 5 BAIT,Wilbur-Ellis Company,2935-366,Foliar,40,40,120,lb / ac,1,Carbaryl,,,,,,,,,,,,,,,,,,,,,,,
CA,Desiccant,AIM EC,FMC Corporation,28573,Foliar,73,117,,ml / ha,1,Carfentrazone,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Herbicide,AIM EC,FMC Corporation,28573,Ground,73,117,,ml / ha,1,Carfentrazone,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,AIM EC HERBICIDE,FMC Corporation,279-3241,Foliar,3.2,5.8,11.6,fl oz/acre,1,Carfentrazone,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,AIM EC HERBICIDE,FMC Corporation,279-3241,Ground,3.2,5.8,11.6,fl oz/acre,1,Carfentrazone,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,AIM EW HERBICIDE,FMC Corporation,279-3242,Ground,3.2,5.8,11.6,fl oz/acre,1,Carfentrazone,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Herbicide,ANTHEM FLEX,FMC Corporation,279-3464,Ground,3.5,6,9.12,fl oz/acre,2,Carfentrazone,,,,,Pyroxasulfone,,,,,,,,,,,,,,,,,,
CA,Desiccant,INSTEP HERBICIDE,Rotam Ltd,33956,Foliar,117,117,,ml / ha,1,Carfentrazone,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Herbicide,INSTEP HERBICIDE,Rotam Ltd,33956,Ground,117,117,,ml / ha,1,Carfentrazone,,,,,,,,,,,,,,,,,,,,,,,
USA,Biological,NEMASAN,,92032-1,Foliar,1,2,,pt / ac,2,Chitosan,,,,,Quillaja Extract,,,,,,,,,,,,,,,,,,
USA,Biological,NEMASAN,,92032-1,Furrow,1,2,,pt / ac,2,Chitosan,,,,,Quillaja Extract,,,,,,,,,,,,,,,,,,
USA,Biological,NEMASAN,,92032-1,Soil Incorporated,1,2,,pt / ac,2,Chitosan,,,,,Quillaja Extract,,,,,,,,,,,,,,,,,,
CA,Field Insecticide,CORAGEN,FMC Corporation,28982,Foliar,250,500,1.125,ml / ha,1,Chlorantraniliprole,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,CORAGEN EVO INSECT CONTROL,FMC Corporation,279-9661,Foliar,0.7,2.5,5.1,fl oz/acre,1,Chlorantraniliprole,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,CORAGEN INSECTICIDE,FMC CORPORATION,352-729,Foliar,2,7.5,15.4,fl oz/acre,1,Chlorantraniliprole,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,VANTACOR,FMC Corporation,279-9656,Chemigation,0.7,2.5,5.1,fl oz/acre,1,Chlorantraniliprole,,,,,,,,,,,,,,,,,,,,,,,
USA,Field Fungicide,VANTACOR,FMC Corporation,279-9656,Foliar,0.7,2.5,5.1,fl oz/acre,1,Chlorantraniliprole,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Insecticide,CORAGEN MAX INSECTICDE,FMC OF CANADA LIMITED,34385,Foliar,83,167,375,ml / ha,1,Chlorantraniliprole,,,,,,,,,,,,,,,,,,,,,,,
CA,Field Insecticide,VOLIAM XPRESS,"Syngenta Canada, Inc.",30325,Air,500,500,,ml / ha,2,Chlorantraniliprole,,,,,Cyhalothrin-lambda,,,,,,,,,,,,,,,,,,
CA,Field Insecticide,VOLIAM XPRESS,"Syngenta Canada, Inc.",30325,Foliar,500,500,,ml / ha,2,Chlorantraniliprole,,,,,Cyhalothrin-lambda,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,BESIEGE INSECTICIDE,Syngenta Crop Protection,100-1402,Foliar,5,9,27,fl oz/acre,2,Chlorantraniliprole,,,,,Lambda-cyhalothrin,,,,,,,,,,,,,,,,,,
USA,Field Insecticide,VOLIAM FLEXI,Syngenta Crop Protection,100-1319,Foliar,4,4,8,oz / ac,2,Chlorantraniliprole,,,,,Thiamethoxam (foliar),,,,,,,,,,,,,,,,,,
USA,Field Insecticide,VOLIAM XPRESS,Syngenta Crop Protection,100-1320,Foliar,5,9,27,fl oz/acre,2,Chlorantraniliprole,,,,,Lambda-cyhalothrin,,,,,,,,,,,,,,,,7,,
USA,Storage Fungicide,PUROGENE,Bio-Cide International,9804-5,Storage Treatment - Piler,200,400,,ppm,1,Chlorine dioxide,,,,,,,,,,,,,,,,,,,,,,,
USA,Storage Fungicide,PUROGENE,Bio-Cide International,9804-5,Storage Treatment - Ventilation,200,400,,ppm,1,Chlorine dioxide,,,,,,,,,,,,,,,,,,,,,,,
USA,Storage Fungicide,PUROGENE PROFESSIONAL,Bio-Cide International,09804-00009,Storage Treatment - Piler,0.5,0.5,,gal / t,1,Chlorine dioxide,,,,,,,,,,,,,,,,,,,,,,,
USA,Storage Fungicide,PUROGENE PROFESSIONAL,Bio-Cide International,09804-00009,Storage Treatment - Ventilation,0.5,0.5,,gal / t,1,Chlorine dioxide,,,,,,,,,,,,,,,,,,,,,,,
USA,Storage Fungicide,ANTHIUM AGP,International Dioxcide,9150-12,Storage Treatment - Piler,0.5,0.5,,gal / t,1,Chlorine dioxide,,,,,,,,,,,,,,,,,,,,,,,
USA,Storage Fungicide,ANTHIUM AGP,International Dioxcide,9150-12,Storage Treatment - Ventilation,0.5,0.5,,gal / t,1,Chlorine dioxide,,,,,,,,,,,,,,,,,,,,,,,
